Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1970.708333  -1.10
1970.791667  -0.98
1970.875000  -1.19
1970.958333  -1.50
1971.041667  -1.30
1971.125000  -1.24
1971.208333  -0.93
1971.291667  -0.60
1971.375000  -0.67
1971.458333  -0.68
1971.541667  -0.29
1971.625000  -0.56
1971.708333  -0.59
1971.791667  -0.87
1971.875000  -1.04
1971.958333  -1.06
1972.041667  -0.45
1972.125000  -0.28
1972.208333  -0.06
1972.291667   0.55
1972.375000   0.78
1972.458333   1.00
1972.541667   1.52
1972.625000   1.96
1972.708333   1.67
1972.791667   1.99
1972.875000   2.12
1972.958333   2.48
1973.041667   1.56
1973.125000   1.09
1973.208333   0.56
1973.291667  -0.22
1973.375000  -0.91
1973.458333  -0.88
1973.541667  -0.96
1973.625000  -1.10
1973.708333  -1.10
1973.791667  -1.41
1973.875000  -1.62
1973.958333  -1.60
1974.041667  -1.59
1974.125000  -1.16
1974.208333  -0.69
1974.291667  -0.40
1974.375000  -0.11
1974.458333  -0.15
1974.541667  -0.10
1974.625000   0.10
1974.708333  -0.29
1974.791667  -0.38
1974.875000  -0.38
1974.958333  -0.65
1975.041667  -0.32
1975.125000  -0.53
1975.208333  -0.47
1975.291667  -0.28
1975.375000  -0.88
1975.458333  -1.08
1975.541667  -0.72
1975.625000  -0.60
1975.708333  -0.95
1975.791667  -1.39
1975.875000  -1.04
1975.958333  -1.79
1976.041667  -1.89
1976.125000  -1.05
1976.208333  -0.46
1976.291667  -0.39
1976.375000  -0.17
1976.458333   0.55
1976.541667   0.85
1976.625000   0.88
1976.708333   1.00
1976.791667   1.21
1976.875000   1.17
1976.958333   0.87
1977.041667   1.01
1977.125000   0.60
1977.208333   0.50
1977.291667  -0.17
1977.375000  -0.03
1977.458333   0.17
1977.541667   0.20
1977.625000  -0.26
1977.708333  -0.23
1977.791667   0.49
1977.875000   0.47
1977.958333   0.40
1978.041667   0.54
1978.125000   0.32
1978.208333   0.11
1978.291667  -0.52
1978.375000  -0.48
1978.458333  -0.63
1978.541667  -0.52
1978.625000  -0.62
1978.708333  -0.56
